Evaluacion,Grado10,Grado20,Grado30,Grado40,Grado50,Grado60,Grado70,Grado80,Grado90,Grado100,Grado110,Grado120,Grado130,Grado140,Grado150,Grado160,Grado170,Grado180,Grado190,Grado200,Grado210,Grado220,Grado230,Grado240,Grado250,Grado260,Grado270,Grado280,Grado290,Grado300,Grado310,Grado320,Grado330,Grado340,Grado350,Grado360,Grado370,Grado380,Grado390,Grado400,Grado410,Grado420,Grado430,Grado440,Grado450,Grado460,Grado470,Grado480,Grado490,Grado500,Grado510,Grado520,Grado530,Grado540,Grado550,Grado560,Grado570,Grado580,Grado590,Grado600,Grado610,Grado620,Grado630,Grado640,Grado650,Grado660,Grado670,Grado680,Grado690,Grado700,Grado710,Grado720,Grado730,Grado740,Grado750,Grado760,Grado770,Grado780,Grado790,Grado800,Grado810,Grado820,Grado830,Grado840,Grado850,Grado860,Grado870,Grado880,Grado890,Grado900,Grado910,Grado920,Grado930,Grado940,Grado950,Grado960,Grado970,Grado980,Grado990,Grado1000
105,700,1800,3400,6900,8900,12100,15600,19500,23800,28500,34000,39900,46300,53400,60800,69100,77700,86800,96500,106900,117800,129200,141300,153900,166800,180400,194700,208600,224100,240100,256400,273400,290900,309300,328400,451600,457300,493800,519400,546100,562500,590700,630400,660000,699700,596100,610700,633200,655800,680800,707400,741600,763800,793100,829900,855000,886900,932900,1.286e+06,1.5592e+06,1.8723e+06,1.9378e+06,1.7508e+06,1.4974e+06,1.5004e+06,1.492e+06,1.277e+06,1.5549e+06,1.6376e+06,1.7369e+06,1.7908e+06,1.827e+06,1.9264e+06,2.0031e+06,2.0624e+06,2.0441e+06,2.0996e+06,2.204e+06,1.9766e+06,2.0039e+06,2.0496e+06,2.4093e+06,1.8944e+06,1.9316e+06,1.9825e+06,2.032e+06,2.0778e+06,2.157e+06,2.1803e+06,2.2214e+06,2.2772e+06,2.3294e+06,2.4229e+06,2.7965e+06,3.2259e+06,3.1752e+06,3.2372e+06,3.3216e+06,3.4032e+06,3.7051e+06
106,700,1800,3500,5700,8700,12300,16800,21400,23000,22700,32700,34200,37300,47500,72400,62200,69900,77900,95100,98300,118100,112700,133000,147900,159300,183100,193100,212200,217800,234100,256900,267100,292600,302100,321100,348400,358600,396400,421200,428500,458600,479700,502600,526700,550400,575400,607400,626300,652600,679400,707100,742700,763600,792700,820900,856900,888300,912800,952000,982500,980700,1.0438e+06,1.0916e+06,1.1225e+06,1.156e+06,1.18e+06,1.2289e+06,1.2676e+06,1.3029e+06,1.347e+06,1.3824e+06,1.4191e+06,1.4642e+06,1.4977e+06,1.5566e+06,1.5867e+06,1.6219e+06,1.671e+06,1.7151e+06,1.7343e+06,1.8021e+06,1.8464e+06,1.8977e+06,1.9378e+06,2.2308e+06,2.4522e+06,2.5006e+06,2.8123e+06,4.6157e+06,2.7918e+06,2.9964e+06,3.4936e+06,3.0424e+06,3.0947e+06,3.2931e+06,3.2887e+06,3.2511e+06,3.305e+06,3.4893e+06,3.6456e+06
107,600,1800,3500,5700,8800,13100,16700,21700,29200,35000,40400,47800,56000,64700,74200,84300,95000,106400,130000,131700,145100,159400,188200,153900,180700,180600,194600,223100,223500,248100,255500,279800,290000,315000,326600,353200,373000,386000,413700,435000,467600,477600,510100,529600,551800,576600,601900,627600,654100,687200,708100,736600,764600,793800,1.0311e+06,1.0421e+06,1.0925e+06,1.1089e+06,1.1427e+06,1.2183e+06,1.2621e+06,1.273e+06,1.3152e+06,1.3814e+06,1.4037e+06,1.3882e+06,1.243e+06,1.3225e+06,1.391e+06,1.4745e+06,1.5209e+06,1.5845e+06,1.5335e+06,1.4998e+06,1.5452e+06,1.5799e+06,1.622e+06,1.6708e+06,1.7141e+06,1.7571e+06,1.8252e+06,1.8471e+06,1.8988e+06,1.9442e+06,1.9863e+06,2.0463e+06,2.0987e+06,2.1431e+06,2.1857e+06,2.2397e+06,2.2891e+06,2.3443e+06,2.3957e+06,2.464e+06,2.4927e+06,2.5409e+06,2.6e+06,2.7332e+06,2.6997e+06,2.7604e+06
108,1100,1800,3300,5200,7700,10500,13700,17500,21900,41000,32400,38300,44900,53700,60100,67900,76200,85500,95300,105600,116500,127700,139800,152400,165400,179200,193400,208100,223500,239200,255700,320000,301400,297400,345900,353800,365600,392900,413700,428100,457800,479700,502800,526300,550600,575400,600700,626000,652600,684000,707000,750700,698400,799900,822800,853000,896200,921700,947400,986200,1.0203e+06,1.0466e+06,1.0862e+06,1.1214e+06,1.1566e+06,1.1937e+06,1.2309e+06,1.2691e+06,1.3097e+06,1.3422e+06,1.3804e+06,1.4253e+06,1.4652e+06,1.5053e+06,1.5651e+06,1.5918e+06,1.6386e+06,1.6816e+06,1.7246e+06,1.767e+06,1.7948e+06,1.8408e+06,1.8868e+06,1.9343e+06,1.9803e+06,2.0265e+06,2.0749e+06,2.0948e+06,2.5189e+06,2.523e+06,2.5626e+06,2.7166e+06,2.6056e+06,2.7178e+06,2.7818e+06,2.8738e+06,3.0793e+06,3.2218e+06,3.0956e+06,3.4075e+06
109,900,2200,3100,5100,7400,10200,13600,17700,22200,27000,32500,38500,59400,51900,59400,67500,76200,85400,95200,105400,116300,127800,139700,152200,165200,179000,200500,207800,230600,239100,262500,272500,298600,331600,337000,346300,365700,394500,414600,428600,458500,480900,503500,527300,551500,575900,622400,642600,653000,679600,711100,746400,767100,792600,828800,852800,889300,915000,953400,986900,1.0122e+06,1.052e+06,1.0861e+06,1.1231e+06,1.1539e+06,1.1923e+06,1.228e+06,1.2649e+06,1.303e+06,1.3404e+06,1.3796e+06,2.3848e+06,1.4579e+06,1.4761e+06,1.5387e+06,1.586e+06,1.6287e+06,1.6698e+06,1.7215e+06,1.7571e+06,1.8014e+06,1.8498e+06,1.8977e+06,1.9369e+06,1.9953e+06,2.0112e+06,2.1074e+06,2.5571e+06,2.6862e+06,2.6725e+06,2.8494e+06,2.861e+06,2.9798e+06,3.0013e+06,3.1872e+06,3.1848e+06,3.2499e+06,3.3179e+06,3.3873e+06,3.4407e+06
110,800,1900,4800,6300,9800,28500,17700,22700,28600,35600,42400,49300,57400,65900,76600,90900,102100,113800,146300,135100,145300,159500,188000,190200,206400,235400,241300,259900,290100,298900,330800,340500,373700,313500,360800,366900,377400,397000,406600,437200,458900,481300,504500,527900,577300,851400,602900,628600,655100,715100,834600,815400,772300,795800,828700,861000,885800,923000,955100,981200,1.0202e+06,1.0597e+06,1.3345e+06,1.3931e+06,1.4289e+06,1.4518e+06,1.4951e+06,1.5356e+06,1.3043e+06,1.3422e+06,1.4122e+06,1.4266e+06,1.4697e+06,1.5486e+06,1.5986e+06,1.6353e+06,1.6469e+06,1.6819e+06,1.7243e+06,1.7621e+06,1.8011e+06,1.8486e+06,1.9023e+06,1.9486e+06,1.9842e+06,2.0295e+06,2.0866e+06,2.1249e+06,2.1797e+06,2.2199e+06,2.3275e+06,2.689e+06,2.8025e+06,2.8682e+06,2.91e+06,2.8027e+06,2.9984e+06,3.358e+06,3.3404e+06,3.4796e+06
111,1400,2000,3200,3000,4400,6000,8100,11800,16200,22000,26800,32600,38200,44300,55000,62600,75400,78900,90900,105400,116300,128100,139500,163400,165200,179000,208000,207900,230300,239000,255500,279600,289800,308000,334000,345800,413100,405600,407200,440700,459200,481000,504300,528400,566900,642300,783100,785100,817600,852000,836300,927100,902000,1.0021e+06,972500,1.068e+06,1.1094e+06,1.2435e+06,1.1598e+06,1.1751e+06,1.2643e+06,1.0584e+06,1.0864e+06,1.1211e+06,1.1564e+06,1.1918e+06,1.2323e+06,1.2659e+06,1.3024e+06,1.34e+06,1.3999e+06,1.4267e+06,1.4584e+06,1.5039e+06,1.5386e+06,1.5898e+06,1.6287e+06,1.6843e+06,1.7072e+06,1.757e+06,1.8045e+06,1.8464e+06,1.8905e+06,1.9462e+06,1.9844e+06,2.0365e+06,2.0788e+06,2.1319e+06,2.1756e+06,2.239e+06,2.3156e+06,2.3301e+06,2.3793e+06,2.4303e+06,2.4834e+06,2.5383e+06,2.5893e+06,2.6412e+06,2.7023e+06,2.749e+06
112,500,1400,2700,4700,7100,10000,13300,17300,21800,26800,32300,38400,44800,51700,77300,67300,76100,85200,95000,115300,120500,129100,140600,153400,165700,179200,193300,208000,223300,239100,255500,272400,290000,307900,326700,345900,365600,385900,406800,428300,581200,469100,489500,521300,546600,569300,598100,626500,649100,674700,710700,732900,758700,793700,820800,820900,894900,984400,942000,986400,1.0189e+06,1.046e+06,1.0858e+06,1.1206e+06,1.1561e+06,1.1916e+06,1.2843e+06,1.8221e+06,1.2753e+06,1.3278e+06,1.3663e+06,1.4151e+06,1.4652e+06,1.498e+06,1.5447e+06,1.598e+06,1.6221e+06,1.9713e+06,1.7159e+06,1.7589e+06,1.8079e+06,1.8477e+06,1.9031e+06,1.9386e+06,1.9981e+06,2.0324e+06,2.082e+06,2.127e+06,2.2034e+06,2.2405e+06,2.2883e+06,2.3368e+06,2.3972e+06,2.4423e+06,2.616e+06,2.5382e+06,2.5977e+06,2.6793e+06,2.8365e+06,2.7594e+06
113,600,1700,3500,5300,7700,10700,14100,18100,22600,27400,33000,39000,55400,52600,60100,68100,76700,86000,107700,106300,117200,128600,149800,152900,166200,189000,194000,208700,233100,240000,265700,273200,299900,308800,336700,355500,366200,395700,416500,437700,486000,483100,505400,529100,553000,581800,603100,629100,655700,688100,710100,738100,766400,805900,826000,871900,1.0569e+06,917700,955500,981400,1.0208e+06,1.0544e+06,1.0885e+06,1.1331e+06,1.1682e+06,1.2267e+06,1.2317e+06,1.266e+06,1.3033e+06,1.3418e+06,1.6391e+06,1.7615e+06,1.7938e+06,1.7564e+06,1.9891e+06,1.9869e+06,2.038e+06,2.0822e+06,2.1895e+06,2.2827e+06,2.2546e+06,2.2749e+06,2.3651e+06,2.4082e+06,2.5143e+06,2.5399e+06,2.6003e+06,3.0135e+06,2.7195e+06,2.9212e+06,2.8637e+06,2.761e+06,2.8017e+06,2.9713e+06,2.9864e+06,2.8368e+06,2.8855e+06,2.7233e+06,2.7114e+06,2.7283e+06
114,700,1700,17300,5100,7400,10400,13700,17600,22000,26800,32400,38500,44900,53700,60100,68000,76200,85400,95300,104200,117800,128300,140100,167300,165300,179000,206400,207800,231900,239100,263500,272500,298300,308100,334300,345700,373700,393700,406700,428300,457600,480200,503200,526900,552300,576100,601400,765500,799400,852000,885800,928500,956400,993300,1.0378e+06,1.0676e+06,1.1211e+06,1.1468e+06,1.3243e+06,987900,1.0692e+06,1.1325e+06,1.16e+06,1.1799e+06,1.1578e+06,1.1919e+06,1.228e+06,1.2691e+06,1.3027e+06,1.347e+06,1.3787e+06,1.418e+06,1.4681e+06,1.4981e+06,1.5452e+06,1.5892e+06,1.6394e+06,1.6743e+06,1.7091e+06,1.7503e+06,1.8034e+06,1.8456e+06,1.8906e+06,1.9447e+06,2.0023e+06,2.0314e+06,2.1908e+06,2.4575e+06,2.6386e+06,2.6674e+06,2.7705e+06,2.9123e+06,2.8494e+06,2.9156e+06,2.9609e+06,2.8203e+06,2.7558e+06,2.6598e+06,2.7071e+06,2.7687e+06
115,700,1700,2900,4900,7400,12800,17000,21800,27400,33700,40500,47900,58000,65800,74900,84500,95300,121000,118900,131700,145300,174100,185900,190300,206700,223400,213900,209100,235000,239200,263800,272400,298900,308100,334700,345900,373800,393600,414500,428000,458300,480900,503400,527000,551100,578900,601300,729800,649700,675800,712300,729700,757900,799000,821400,851500,889500,920200,957200,1.0072e+06,1.0954e+06,1.1244e+06,1.1635e+06,1.1174e+06,1.1502e+06,1.1854e+06,1.2278e+06,1.2615e+06,1.3044e+06,1.3458e+06,1.3806e+06,1.4248e+06,1.458e+06,1.8309e+06,1.8952e+06,2.049e+06,2.1203e+06,2.039e+06,2.0974e+06,2.1081e+06,2.1241e+06,2.2754e+06,2.2531e+06,2.3513e+06,2.4974e+06,2.5896e+06,2.6208e+06,2.6719e+06,2.7437e+06,2.7935e+06,2.8644e+06,2.9662e+06,3.0528e+06,3.0574e+06,3.0798e+06,3.2106e+06,3.1582e+06,3.029e+06,3.3899e+06,3.1475e+06
116,700,1700,3200,5100,7300,10300,13700,17600,21900,27000,32600,38400,45000,51800,73100,67400,76000,85200,95100,114600,116300,127600,139700,159500,165300,179000,200400,207900,223200,246100,255500,287500,283600,318000,328700,340600,368100,379100,401900,430000,457100,475200,537300,532400,553500,576400,601700,627300,653700,680700,707900,713300,767100,792700,828900,852600,889900,918700,955800,979500,1.0185e+06,1.0526e+06,1.0867e+06,1.121e+06,1.1551e+06,1.1801e+06,1.2156e+06,1.2868e+06,1.303e+06,1.3401e+06,1.3849e+06,1.4182e+06,1.458e+06,1.5092e+06,1.5451e+06,1.5817e+06,1.6294e+06,1.6737e+06,1.7147e+06,1.7661e+06,1.8017e+06,1.854e+06,1.891e+06,1.9554e+06,1.9842e+06,2.0304e+06,2.0807e+06,2.1333e+06,2.1773e+06,2.2559e+06,2.2805e+06,2.3321e+06,2.3824e+06,2.4422e+06,2.4749e+06,3.1672e+06,3.2481e+06,3.3052e+06,3.4481e+06,3.5098e+06
117,800,2000,3500,5900,8700,12600,17000,21600,29200,33500,40300,47800,55800,64800,74100,84200,95000,106500,118700,131500,167900,156500,148900,153900,167000,180700,208000,208300,223100,247800,255400,279700,290000,315200,333700,345900,372600,392700,406600,434900,457200,474400,507700,533900,552100,571100,598400,620700,650400,672900,705400,735600,763700,794800,829100,852800,889500,915400,949200,973200,1.0194e+06,1.046e+06,1.0801e+06,1.1209e+06,1.1555e+06,1.1914e+06,1.228e+06,1.2821e+06,1.3072e+06,1.3426e+06,1.3811e+06,1.4269e+06,1.4602e+06,1.68e+06,1.8679e+06,1.9107e+06,1.6995e+06,1.811e+06,1.8944e+06,1.7674e+06,1.8494e+06,1.8554e+06,2.2305e+06,2.3575e+06,2.3853e+06,2.4566e+06,2.3902e+06,2.6605e+06,2.7326e+06,2.8346e+06,2.725e+06,2.433e+06,2.7053e+06,2.6449e+06,2.7608e+06,2.9239e+06,2.9466e+06,3.0617e+06,3.0314e+06,2.7432e+06
118,900,1800,3500,5100,7100,10100,13500,17400,21800,26900,32400,47800,56000,64700,75000,85100,95900,107600,119700,132700,146500,177100,140300,150400,166900,180700,222800,208700,238100,239200,265400,272300,299000,356600,419900,443400,457000,494000,519300,534900,575800,602700,602300,646600,702800,721500,752300,785700,780000,851700,893400,882900,1.1819e+06,977900,920500,1.0371e+06,946200,955900,963500,1.0367e+06,1.0727e+06,1.0559e+06,1.0982e+06,1.1229e+06,1.2177e+06,1.1924e+06,1.2277e+06,1.2652e+06,1.3084e+06,1.3404e+06,1.3794e+06,1.4243e+06,1.4412e+06,1.4886e+06,1.5382e+06,1.5894e+06,1.638e+06,1.6645e+06,1.7131e+06,1.7559e+06,1.8065e+06,1.8493e+06,1.897e+06,1.9365e+06,1.9831e+06,2.0351e+06,2.0776e+06,2.1462e+06,2.1817e+06,2.7064e+06,2.7321e+06,2.8044e+06,3.0947e+06,3.1137e+06,3.106e+06,3.1732e+06,3.2898e+06,3.5119e+06,3.3849e+06,3.4978e+06
119,900,1900,1700,2900,6200,6000,9400,12100,18800,20900,27700,29000,40300,46200,59300,62700,70300,86900,96900,107100,116900,128000,139900,152400,165400,179000,202400,207900,230200,239100,262400,272400,297000,308100,334700,313800,373600,393300,406800,428300,457100,480000,502600,526100,550300,575400,600400,638700,652800,680000,707000,741400,763400,768300,842500,859400,883300,920800,946800,979000,1.0098e+06,1.0615e+06,1.0863e+06,1.1148e+06,1.1497e+06,1.186e+06,1.2295e+06,1.2645e+06,1.3026e+06,1.3398e+06,1.4035e+06,1.4186e+06,1.4583e+06,1.5049e+06,1.545e+06,1.5796e+06,1.6283e+06,1.6715e+06,1.7145e+06,1.7571e+06,1.8026e+06,1.8449e+06,1.8916e+06,1.9219e+06,1.9951e+06,2.1076e+06,2.0855e+06,2.1245e+06,2.1746e+06,2.2333e+06,2.2786e+06,2.6262e+06,2.3954e+06,2.4331e+06,2.4858e+06,2.5456e+06,2.7212e+06,3.1753e+06,3.2349e+06,3.2849e+06
120,700,1600,3400,5800,8800,10900,14100,17400,21800,33700,40400,47900,55900,64700,90200,84200,95000,106500,118700,144800,145100,159400,174500,201900,206400,223700,253000,262500,224900,254700,256100,284700,290000,317400,335500,345800,374400,395000,406600,437100,458800,481700,504300,528100,551900,576700,656100,643200,807700,841200,875200,909800,904100,982100,994200,1.1186e+06,1.1172e+06,1.1212e+06,1.1492e+06,1.1961e+06,1.2546e+06,1.2796e+06,1.3295e+06,1.37e+06,1.3945e+06,1.4429e+06,1.5227e+06,1.587e+06,1.6374e+06,1.643e+06,1.7005e+06,1.7338e+06,1.8238e+06,1.8135e+06,1.5491e+06,1.8031e+06,1.7826e+06,1.825e+06,1.7284e+06,1.7706e+06,1.8041e+06,1.8472e+06,1.8915e+06,1.9374e+06,1.9891e+06,2.1651e+06,2.2511e+06,2.2619e+06,2.1984e+06,2.2742e+06,2.2805e+06,2.1812e+06,2.3841e+06,2.4341e+06,2.4817e+06,2.5536e+06,2.5882e+06,2.6414e+06,2.7011e+06,2.7491e+06
121,600,1400,2700,4500,6900,10100,13400,17400,21800,26900,32400,38300,44900,61200,59400,67500,76200,85300,95100,113000,116300,127700,139700,153100,165300,105700,203600,207800,223200,238900,255500,279600,289900,315300,334100,345800,416500,394000,406800,436400,458200,480800,503800,527200,551600,576000,636200,648500,655000,679300,707200,741800,763500,795200,829700,852900,889500,915600,953500,986400,1.0135e+06,1.0524e+06,1.0861e+06,1.1209e+06,1.1705e+06,1.2159e+06,1.2308e+06,1.2661e+06,1.3043e+06,1.3411e+06,1.3797e+06,1.4994e+06,1.8241e+06,1.8751e+06,1.733e+06,1.7793e+06,1.7956e+06,1.9081e+06,1.8637e+06,1.9829e+06,1.8761e+06,2.0653e+06,1.9132e+06,1.9601e+06,1.9952e+06,2.032e+06,2.084e+06,2.1276e+06,2.1711e+06,2.2119e+06,2.2788e+06,2.329e+06,2.3801e+06,2.4297e+06,2.4842e+06,2.5496e+06,2.5872e+06,2.6161e+06,2.6976e+06,2.7497e+06
122,400,1400,2700,4600,7000,9800,13500,17400,21700,26700,32200,38200,44800,51700,59300,67400,76100,85300,95200,105500,116400,127700,139800,152400,172300,179000,193300,215000,223400,246000,255700,279500,290000,315100,326800,371700,372800,385900,419000,437100,457000,479700,502600,526400,550600,575000,600300,626100,652700,679500,707000,735200,773500,792600,696100,860800,883900,1.117e+06,954800,980900,1.0193e+06,1.053e+06,1.0868e+06,1.1217e+06,1.1705e+06,1.1924e+06,1.2423e+06,1.2662e+06,1.3039e+06,1.3476e+06,1.381e+06,1.4194e+06,1.4648e+06,1.5104e+06,1.5554e+06,1.6113e+06,1.6399e+06,1.6755e+06,1.7185e+06,1.7669e+06,1.8128e+06,1.8317e+06,1.894e+06,1.9375e+06,1.983e+06,2.0329e+06,2.0745e+06,2.1296e+06,2.1783e+06,2.219e+06,2.2775e+06,2.3225e+06,2.8272e+06,2.7071e+06,2.7715e+06,2.7706e+06,2.9761e+06,2.9971e+06,3.0447e+06,3.1337e+06
123,800,2100,2900,5100,7400,10400,13700,17700,22100,27100,32500,38300,44900,51800,59400,77300,76200,85300,95200,105500,123900,127700,132400,155900,162600,174600,197700,203300,218700,234300,250300,273900,271900,308200,336400,356900,365800,393300,414300,428200,450000,479600,502500,529000,550300,575100,605100,635700,655900,679500,715000,735300,761400,792000,826000,851100,887400,912000,957800,989200,1.0244e+06,1.046e+06,1.0862e+06,1.1385e+06,1.1573e+06,1.1922e+06,1.2286e+06,1.2653e+06,1.3027e+06,1.3413e+06,1.3848e+06,1.584e+06,1.5463e+06,1.5755e+06,1.5461e+06,1.581e+06,1.6288e+06,1.6706e+06,1.714e+06,1.7568e+06,1.9956e+06,2.1012e+06,2.1413e+06,2.322e+06,2.2982e+06,2.3119e+06,2.4724e+06,2.3154e+06,2.2519e+06,2.3368e+06,2.292e+06,2.3163e+06,2.3757e+06,2.426e+06,2.4923e+06,2.8189e+06,2.9517e+06,3.012e+06,3.1989e+06,3.1596e+06
124,900,2400,1700,4800,4300,5900,8000,10300,23000,28200,33900,38800,45200,51900,59900,64400,106100,86900,96900,105900,116800,127700,139800,152300,174300,179000,193200,215300,223200,246000,255600,279500,289900,315000,326800,352700,381600,386200,414400,435100,457100,472900,501900,528600,545400,570700,595300,622100,647600,674700,705100,732400,758400,793400,824000,859600,884500,833400,959500,979800,1.0191e+06,1.0529e+06,1.0864e+06,1.1216e+06,1.2672e+06,1.4577e+06,1.5156e+06,1.5475e+06,1.6118e+06,1.7249e+06,1.7348e+06,1.776e+06,1.7645e+06,1.6297e+06,1.7592e+06,1.7839e+06,1.8049e+06,1.6685e+06,1.795e+06,1.7599e+06,1.8074e+06,1.8336e+06,1.8906e+06,1.9749e+06,1.9825e+06,2.0296e+06,2.0868e+06,2.1394e+06,2.4865e+06,2.5483e+06,2.5612e+06,2.6598e+06,2.6278e+06,2.634e+06,2.849e+06,2.9129e+06,2.7619e+06,2.9321e+06,3.0913e+06,3.0972e+06
125,900,1400,3400,5100,7500,10200,13600,17500,22100,27200,32800,38600,45000,51800,69600,67500,76100,85300,95100,105400,116400,127700,139700,159300,165300,179100,200600,207900,223200,246600,255600,279500,290000,315600,326600,345800,373500,401000,478200,444100,462300,480700,502900,526800,550100,574800,600200,626200,653000,679400,706500,735400,763100,793100,843500,871400,897900,927100,954000,986200,1.0134e+06,1.0532e+06,1.0866e+06,1.1218e+06,1.1662e+06,1.194e+06,1.2565e+06,1.2755e+06,1.3193e+06,1.3512e+06,1.38e+06,1.4248e+06,1.4587e+06,1.5127e+06,1.5491e+06,1.5951e+06,1.6206e+06,1.6614e+06,1.7114e+06,1.7582e+06,1.7995e+06,1.841e+06,1.899e+06,1.9351e+06,1.9811e+06,2.0336e+06,2.0755e+06,2.116e+06,2.1759e+06,2.2074e+06,2.268e+06,2.3289e+06,2.3765e+06,2.4258e+06,2.4768e+06,2.5358e+06,2.6118e+06,2.7139e+06,3.3234e+06,3.4525e+06
126,900,1700,3400,5700,8800,13600,16800,21500,27200,33400,40500,47800,55800,64700,75000,84100,94800,106500,118600,131600,156700,159400,174500,190200,218100,194500,194800,209400,224700,253200,255900,282300,290000,315700,326700,346000,372900,385700,406800,435100,457000,479800,495500,534700,557200,567800,600600,626200,653000,679800,706800,741000,773200,792800,828500,853500,890400,915200,953000,986500,1.0123e+06,1.0524e+06,1.086e+06,1.1214e+06,1.1827e+06,1.1924e+06,1.2285e+06,1.2653e+06,1.3022e+06,1.3473e+06,1.3805e+06,1.4184e+06,1.4637e+06,1.5823e+06,1.5399e+06,1.5874e+06,1.6286e+06,1.6656e+06,1.7304e+06,1.7708e+06,2.2592e+06,1.8851e+06,2.3695e+06,2.4244e+06,2.4894e+06,2.5538e+06,2.6572e+06,2.5568e+06,2.7127e+06,2.8557e+06,2.9396e+06,2.9169e+06,3.0415e+06,2.9836e+06,3.057e+06,3.1741e+06,3.2389e+06,3.3114e+06,3.3132e+06,3.1764e+06
127,900,1700,3200,5000,7200,10300,13600,31700,22000,26900,32400,38300,44700,51800,59300,67400,84900,85200,95000,105300,116300,138000,139700,152200,173600,179000,193200,214900,223200,246200,255600,279400,290000,315200,326700,352800,372700,385900,413600,434900,450200,472600,502500,525900,551700,575900,605800,627300,652500,685300,706700,734700,763800,798800,822000,858600,883000,920800,961400,985400,1.0203e+06,1.052e+06,1.0798e+06,1.121e+06,1.1567e+06,1.1919e+06,1.2281e+06,1.2708e+06,1.303e+06,1.3608e+06,1.3759e+06,1.4257e+06,1.4576e+06,1.5043e+06,1.5388e+06,1.586e+06,1.6363e+06,1.6901e+06,1.7143e+06,1.742e+06,1.8028e+06,1.8463e+06,1.8958e+06,1.9361e+06,2.0058e+06,2.0302e+06,2.0887e+06,2.0914e+06,2.1813e+06,2.2296e+06,2.2823e+06,2.3376e+06,2.3722e+06,2.4326e+06,2.4821e+06,2.5337e+06,2.6323e+06,2.6765e+06,2.688e+06,2.7561e+06
128,600,1400,2800,4700,7100,10100,13500,17400,21800,26800,32400,38400,44900,52300,59900,67500,76400,85400,95100,114900,116400,127700,139800,160700,165700,179000,201700,207900,240300,239200,256000,272300,289900,329100,345200,346000,376400,393900,414600,428200,426100,482200,504000,519000,550300,574900,600300,632300,652600,679800,710000,734900,770000,792600,822400,866600,883100,920800,952700,987700,1.0185e+06,1.0514e+06,1.0861e+06,1.1184e+06,1.1554e+06,1.1912e+06,1.2443e+06,1.2667e+06,1.3033e+06,1.3403e+06,1.3851e+06,1.4181e+06,1.4638e+06,1.4897e+06,1.5453e+06,1.5898e+06,1.6306e+06,1.8169e+06,1.7142e+06,1.7628e+06,1.8018e+06,1.8514e+06,1.9029e+06,1.9491e+06,1.995e+06,2.0471e+06,2.0848e+06,2.1409e+06,2.1922e+06,2.2344e+06,2.2834e+06,2.3397e+06,2.4552e+06,2.4349e+06,2.4855e+06,2.5374e+06,2.5902e+06,2.6707e+06,2.7204e+06,2.7621e+06
129,600,1800,3400,5000,7500,10400,13800,17700,22100,27200,23800,46900,57900,53300,60200,67800,76400,85400,95100,105300,116400,127700,151300,152300,165400,187900,193200,207800,223400,239000,263700,272600,298000,308000,403600,447100,459100,528300,557700,552500,574500,590600,630700,660000,690000,720700,752600,784900,817900,851900,904200,957700,966200,961100,1.0311e+06,1.076e+06,1.0591e+06,1.1535e+06,1.1608e+06,1.2688e+06,1.2754e+06,1.0647e+06,1.1337e+06,1.227e+06,1.2754e+06,1.3161e+06,1.2894e+06,1.2864e+06,1.376e+06,1.3584e+06,1.3862e+06,1.4186e+06,1.4633e+06,1.5173e+06,1.5781e+06,1.7653e+06,1.6727e+06,1.6691e+06,1.7174e+06,1.7579e+06,1.8017e+06,2.4683e+06,2.3146e+06,2.3893e+06,2.3409e+06,2.4425e+06,2.6623e+06,2.6591e+06,2.8368e+06,2.7577e+06,2.5866e+06,2.6411e+06,2.6398e+06,2.8583e+06,2.7622e+06,2.8606e+06,2.6297e+06,2.8851e+06,3.1724e+06,3.2622e+06
130,900,1800,3000,4900,7400,10200,13500,17400,23000,27600,32600,38600,44600,51700,59800,67400,76100,85400,105900,105300,116300,127800,148700,152200,165200,187300,193100,207900,232000,239100,263700,272400,300100,312800,344000,424000,457000,400600,408500,443900,460100,480200,502800,526500,550400,575500,600600,626000,653600,679900,708900,742200,781600,795200,830300,854000,890900,915900,954600,980500,1.1138e+06,1.2693e+06,1.3779e+06,1.1004e+06,1.3584e+06,1.4551e+06,1.4955e+06,1.5389e+06,1.6553e+06,1.4073e+06,1.6893e+06,1.9026e+06,1.7853e+06,1.8316e+06,1.8667e+06,1.7635e+06,1.8108e+06,1.9001e+06,1.7978e+06,1.9629e+06,1.9742e+06,2.0969e+06,2.1464e+06,2.2259e+06,2.2296e+06,2.2527e+06,2.2881e+06,2.1457e+06,2.1763e+06,2.6347e+06,2.8513e+06,3.0283e+06,2.9902e+06,3.0571e+06,3.1953e+06,3.1852e+06,3.2498e+06,3.2203e+06,3.3684e+06,3.5865e+06
